1. FC Heidenheim,291
1. FC Köln,277
1. FC Nürnberg,301
1. FC Union Berlin,300
1.FK Príbram,435
1899 Hoffenheim,285
A.Bielefeld,319
AC Ajaccio,369
AC Horsens,903
AC Milan,209
ADO Den Haag,457
AFC Fylde,1309
AFC Wimbledon,111
AS Beziers,14522
AZ Alkmaar,453
AaB,713
Aberdeen,2383
Accrington,114
Adelaide Utd,3581
Ajax,461
Akhisar Belediyespor,635
Alanyaspor,2939
Albacete Balompié,253
Alcorcon,254
Aldershot,81
Aldosivi,1439
Alloa Athletic,1692
Almere City,1193
Amiens SC,1143
América-MG,1098
Anderlecht,403
Angers SCO,367
Antalyaspor,2935
Antwerp,1159
Argentinos Juniors,1438
Arsenal,6
Arsenal Tula,585
Arsenal U21,2723
Aston Villa,11
Atalanta,197
Athletic Bilbao,128
Atlanta United FC,39773
Atletico Madrid,241
Atlético Mineiro,808
Atlético PR,810
Atlético Tucumán,1434
Aucas,2243
Augsburg,272
Austria Vienna,382
Ayr,2458
BSC Young Boys,151
Bahia,8634
Banfield,1270
Barcelona,235
Barcelona SC,834
Barnet,84
Barnsley,30
Barrow,1312
Bayer Leverkusen,125
Bayern Munich,281
Belenenses,561
Benevento,1771
Benfica,557
Benfica B,601
Besiktas,127
Betis,250
Birmingham,32
Blackburn,60
Blackpool,24
Boavista FC,554
Boca Juniors,792
Bologna,228
Bolton,28
Bordeaux,343
Boreham Wood,1343
Borussia Monchengladbach,158
Botafogo RJ,1497
Bournemouth,36
Bradford,46
Braintree,78
Brentford,64
Brest,358
Brighton,47
Brisbane Roar,3582
Bristol City,34
Bristol Rovers,75
Bromley,1334
Brøndby IF,708
Burnley,3
Bursaspor,639
Burton,69
Bury,113
CA Huracán,1443
CD Aves,19314
CD Leonesa,4042
CD Numancia,251
CD Tenerife,252
CF Reus Deportiu,16159
CSKA Moscow,582
Caen,349
Cagliari,200
Cambridge,103
Cardiff,56
Carlisle,104
Carpi,218
Cashpoint SCR Altach,383
Ceará SC,798
Celta Vigo,237
Celtic,1371
Central Coast Mariners,3436
Cer. Brugge,411
Chamois Niortais,376
Chapecoense,1273
Charlton,48
Chateauroux,360
Chelsea,16
Chelsea U21,6449
Cheltenham,109
Chennaiyin FC,5896
Chesterfield,68
Chievo,207
Cittadella,216
Clermont,377
Club Brugge,168
Club Deportivo Técnico Universitario,5692
Colchester,53
Cordoba,236
Corinthians,804
Coventry,26
Crawley,38
Cremonese,1738
Crewe,63
Cruzeiro,801
Crystal Palace,8
Cádiz,4079
D. Dresden,1130
Dagenham & Redbridge,118
De Graafschap,1191
Defensa y Justicia,790
Delfin SC,5709
Den Bosch,1188
Deportivo,233
Deportivo Alaves,262
Deportivo Cuenca,2768
Deportivo Macara,6132
Derby,51
Dijon FCO,365
Dinamo Moscow,185
Dinamo Zagreb,138
Doncaster,65
Dordrecht,452
Dortmund,273
Dover,89
Dundee,2380
Dundee Utd,2375
Dunfermline,2462
Eastleigh,98
Ebbsfleet United,1332
Eibar,242
Eintracht Frankfurt,183
El Nacional,2775
Elche CF,239
Emelec,2769
Emmen,1183
Empoli,195
Erzurum BB,6220
Esbjerg,706
Espanyol,231
Estudiantes,791
Everton,15
Excelsior,454
Exeter,100
Extremadura UD,10485
FC Basel,626
FC Copenhagen,126
FC Eindhoven,1181
FC Luzern,627
FC Magdeburg,330
FC Mariupol,42456
FC Midtjylland,144
FC Ufa,584
FC Ural Yekaterinburg,587
FC Wacker Innsbruck,392
FC Zurich,148
FC Zwolle,137
FK Dukla Praha,442
Falkirk,1694
Farense,619
Fenerbahce,633
Feyenoord,130
Fiorentina,206
Flamengo,800
Fleetwood,49
Fluminense FC,817
Foggia,1774
Forest Green,92
Fortuna Dusseldorf,299
Fortuna Sittard,1187
Frosinone,225
Fulham,54
GD Chaves,611
Galatasaray,640
Gateshead,79
Gazelec Ajaccio,370
Genk,402
Genoa,196
Gent,406
Getafe,245
Gillingham,61
Gimnasia y Esgrima La Plata,1454
Gimnastic,3285
Girona,255
Go Ahead Eagles,458
Godoy Cruz,796
Grasshoppers Zurich,169
Greenock Morton,1691
Grenoble Foot 38,8208
Grimsby,82
Groningen,460
Grêmio FBPA,805
Guayaquil City FC,41539
Guingamp,355
Guiseley,1321
HNK Gorica,2874
Halifax,76
Hamburg,278
Hamilton,2376
Hannover,275
Harrogate Town,1317
Hartlepool,110
Havant & Waterlooville,1347
Hearts,2453
Heerenveen,449
Helmond Sport,1196
Heracles Almelo,455
Hertha Berlin,270
Hibernian,2459
Hobro IK,714
Holstein Kiel,1132
Huddersfield,40
Huesca,4057
Hull,12
Independiente,1564
Independiente Medellín,852
Independiente del Valle,815
Inter,178
Inverness CT,2382
Ipswich,52
Jong Ajax,1189
Jong FC Utrecht,3379
Junior,848
Juventus,208
KAS Eupen,1173
KV Kortrijk,407
Kasimpasa SK,643
Kilmarnock,2373
Krasnodar,140
LDU Quito,966
Lanus,1267
Las Palmas,249
Lazio,210
Le Havre AC,374
Lech Poznan,522
Leeds,27
Leganes,257
Leicester,5
Lens,345
Levante,238
Leyton Orient,50
Lille,339
Lincoln,93
Liverpool,2
Livingston,1696
Livorno,217
Lokeren,174
Lokomotiv Moscow,142
Lommel United,1162
Lugano,1222
Lugo,258
Luton Town,102
Lyon,147
MFK Ružomberok,3465
MK Dons,37
MSV Duisburg,318
MVV Maastricht,1179
Macclesfield,97
Maidenhead,1329
Maidstone Utd,1601
Mainz,274
Man City U21,5104
Manchester City,9
Manchester Utd,4
Mansfield,108
Marseille,340
Mattersburg,397
Melbourne City,4193
Melbourne Victory,3446
Melilla,3292
Metz,342
Middlesbrough,21
Millwall,23
Monaco,338
